name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,random_angle_rad,stellar_magnitude_scaled
HD 215497 c,132.0,8.96,Gas Giant,2009,0.33,Jupiter,1.11,Jupiter,1.282,1.6,0.49,Radial Velocity,4.637335030428625,0.8150807078512964
HD 216435 b,108.0,6.03,Gas Giant,2002,1.26,Jupiter,1.22,Jupiter,2.56,3.6,0.07,Radial Velocity,0.5947370584151909,0.8820705107686679
HD 216437 b,87.0,6.04,Gas Giant,2002,2.223,Jupiter,1.19,Jupiter,2.497,3.7,0.32,Radial Velocity,2.6637740106331877,0.8818418766290183
HD 216520 b,64.0,7.53,Neptune-like,2020,10.26,Earth,0.284,Jupiter,0.198,0.0971937,0.09,Radial Velocity,0.9242853898192371,0.847775389821208
HD 216520 c,64.0,7.53,Neptune-like,2020,9.44,Earth,0.271,Jupiter,0.528,0.42272416,0.12,Radial Velocity,0.495998056091673,0.847775389821208
HD 216536 b,1227.0,9.229,Gas Giant,2015,1.05,Jupiter,1.23,Jupiter,0.61,0.40684465,0.38,Radial Velocity,2.3085042404212817,0.8089304494947186
HD 216770 b,120.0,8.11,Gas Giant,2003,0.57,Jupiter,1.26,Jupiter,0.46,0.32443532,0.37,Radial Velocity,3.528775856575007,0.8345146097215236
HD 21693 b,108.0,7.95,Neptune-like,2019,8.23,Earth,0.25,Jupiter,0.1455,0.062149215,0.12,Radial Velocity,3.553364474020937,0.8381727559559192
HD 21693 c,108.0,7.95,Neptune-like,2019,17.37,Earth,0.387,Jupiter,0.2586,0.14702259,0.07,Radial Velocity,1.096547577211456,0.8381727559559192
HD 217107 b,65.0,6.155,Gas Giant,1998,1.3,Jupiter,1.22,Jupiter,0.08,0.01943874,0.13,Radial Velocity,6.192225119788195,0.8792125840230463
HD 217107 c,65.0,6.155,Gas Giant,2005,2.6,Jupiter,1.18,Jupiter,5.32,11.7,0.52,Radial Velocity,5.455308507091445,0.8792125840230463
HD 21749 c,53.0,8.08,Super Earth,2019,3.7,Earth,0.892,Earth,0.0695,0.021355236,0.0,Transit,3.5239365564259035,0.8352005121404729
HD 217786 b,181.0,7.78,Gas Giant,2011,13.85303,Jupiter,1.1,Jupiter,2.44502,3.6,0.31,Radial Velocity,2.871413343677622,0.8420595363299648
HD 217786 c,181.0,7.78,Neptune-like,2022,7.35886,Earth,0.234,Jupiter,0.037863,0.0068446267,-0.52,Radial Velocity,4.297815701848763,0.8420595363299648
HD 217850 b,215.0,8.520001,Gas Giant,2018,21.6,Jupiter,1.08,Jupiter,4.56,9.6,0.76,Radial Velocity,3.810731798527257,0.8251405871324706
HD 217958 b,202.0,8.05,Gas Giant,2022,0.5916,Jupiter,1.26,Jupiter,3.748429,7.0,0.16,Radial Velocity,5.799421445669256,0.835886414559422
HD 218566 b,94.0,8.6,Gas Giant,2010,0.2,Jupiter,0.832,Jupiter,0.69,0.6179329,0.3,Radial Velocity,3.988502628573834,0.8233115368786866
HD 219077 b,95.0,6.12,Gas Giant,2012,9.75299,Jupiter,1.11,Jupiter,5.935698,15.0,0.77,Radial Velocity,2.987168313643031,0.8800128035118204
HD 219134 b,21.0,5.56911,Super Earth,2015,4.74,Earth,1.602,Earth,0.03876,0.008487337,0.0,Radial Velocity,0.5513123680840971,0.8926080296309844
HD 219134 c,21.0,5.56911,Super Earth,2015,4.36,Earth,1.511,Earth,0.0653,0.018617386,0.06,Radial Velocity,2.4506544401372548,0.8926080296309844
HD 219134 d,21.0,5.56911,Super Earth,2015,16.17,Earth,1.61,Earth,0.237,0.12840521,0.14,Radial Velocity,2.9944368648014037,0.8926080296309844
HD 219134 f,21.0,5.56911,Super Earth,2015,7.3,Earth,1.31,Earth,0.1463,0.062149215,0.15,Radial Velocity,1.7014841263325908,0.8926080296309844
HD 219134 g,21.0,5.56911,Neptune-like,2015,10.80622,Earth,0.293,Jupiter,0.3753,0.25790554,0.0,Radial Velocity,0.9518666327642619,0.8926080296309844
HD 219134 h,21.0,5.56911,Gas Giant,2015,0.34,Jupiter,1.14,Jupiter,3.11,6.2,0.06,Radial Velocity,5.349860171230842,0.8926080296309844
HD 219139 b,342.0,5.84863,Gas Giant,2021,0.78,Jupiter,1.24,Jupiter,0.94,0.7542779,0.11,Radial Velocity,3.2282300402524577,0.8862172481594952
HD 219415 b,539.0,8.909,Gas Giant,2012,1.0,Jupiter,1.23,Jupiter,3.2,5.7,0.4,Radial Velocity,2.19310523259098,0.81624674196351
HD 219666 b,307.0,9.809,Neptune-like,2018,16.6,Earth,0.42,Jupiter,0.06356,0.016427105,0.0,Transit,1.8122842269890704,0.7956696693950341
HD 219828 b,238.0,8.04,Neptune-like,2007,18.94937,Earth,0.408,Jupiter,0.048559,0.010403832,0.09,Radial Velocity,1.6879607073960983,0.8361150486990717
HD 219828 c,238.0,8.04,Gas Giant,2016,17.0123,Jupiter,1.09,Jupiter,5.657321,13.1,0.81,Radial Velocity,4.765325175329191,0.8361150486990717
HD 220074 b,1059.0,6.40607,Gas Giant,2012,16.64,Jupiter,1.09,Jupiter,1.6,1.8,0.14,Radial Velocity,2.854747719036464,0.8734722666788605
HD 220197 b,210.0,8.92,Gas Giant,2018,0.2,Jupiter,0.832,Jupiter,2.729,4.7,0.19,Radial Velocity,3.2302807244799014,0.8159952444098952
HD 220689 b,153.0,7.74,Gas Giant,2012,1.118,Jupiter,1.23,Jupiter,3.396,6.2,0.05,Radial Velocity,2.4754545450236956,0.8429740728885636
HD 220773 b,165.0,7.10831,Gas Giant,2011,1.45,Jupiter,1.21,Jupiter,4.94,10.2,0.51,Radial Velocity,1.7221782216013979,0.8574166628560976
HD 220842 b,211.0,7.98,Gas Giant,2016,3.18,Jupiter,1.17,Jupiter,0.74,0.5982204,0.4,Radial Velocity,3.5095781136971844,0.83748685353697
HD 221287 b,182.0,7.82,Gas Giant,2007,3.09,Jupiter,1.17,Jupiter,1.25,1.2487338,0.08,Radial Velocity,1.387080842151487,0.8411449997713658
HD 221416 b,312.0,8.15,Gas Giant,2019,0.19,Jupiter,0.836,Jupiter,0.1228,0.039151266,0.12,Transit,3.2210668387601062,0.8336000731629247
HD 221420 b,102.0,5.82,Gas Giant,2019,20.0215,Jupiter,1.08,Jupiter,8.416586,23.6,0.08,Radial Velocity,2.987962629739544,0.8868718277013123
HD 221585 b,182.0,7.457,Gas Giant,2016,1.61,Jupiter,1.21,Jupiter,2.306,3.2,0.12,Radial Velocity,2.0790432861709855,0.8494444190406512
HD 222076 b,297.0,7.47,Gas Giant,2016,1.56,Jupiter,1.21,Jupiter,1.83,2.4,0.08,Radial Velocity,0.4113755871487363,0.8491471946591065
HD 222155 b,165.0,7.11716,Gas Giant,2011,2.12,Jupiter,1.19,Jupiter,5.14,11.0,0.16,Radial Velocity,0.013129464789081611,0.8572143216425077
HD 222582 b,138.0,7.68,Gas Giant,1999,8.37,Jupiter,1.12,Jupiter,1.34,1.6,0.73,Radial Velocity,1.4465678618592286,0.8443458777264621
HD 224538 b,258.0,8.06,Gas Giant,2016,7.02951,Jupiter,1.13,Jupiter,2.373375,3.3,0.48,Radial Velocity,3.0671606213312104,0.8356577804197722
HD 224693 b,305.0,8.23,Gas Giant,2006,0.7,Jupiter,1.25,Jupiter,0.191,0.07310062,0.1,Radial Velocity,6.097820447553685,0.8317710000457267
HD 22496 b,44.0,8.57,Neptune-like,2021,5.57,Earth,2.22,Earth,0.051,0.013963039,0.0,Radial Velocity,0.2626083074604067,0.8239974392976359
HD 22532 b,526.0,7.85,Gas Giant,2022,2.12,Jupiter,1.19,Jupiter,1.9,2.4,0.03,Radial Velocity,1.1082191498854845,0.8404590973524166
HD 22781 b,106.0,8.78,Gas Giant,2011,13.65,Jupiter,1.1,Jupiter,1.167,1.4,0.82,Radial Velocity,3.405635445360853,0.8191961223649915
HD 23079 b,109.0,7.12,Gas Giant,2001,2.61,Jupiter,1.18,Jupiter,1.6,2.0,0.1,Radial Velocity,2.839402081944978,0.8571493895468472
HD 23127 b,306.0,8.58,Gas Giant,2006,1.527,Jupiter,1.21,Jupiter,2.37,3.3,0.41,Radial Velocity,1.7283151828352592,0.8237688051579862
HD 231701 b,355.0,8.97,Gas Giant,2007,1.13,Jupiter,1.22,Jupiter,0.567,0.3876797,0.13,Radial Velocity,4.404524599107834,0.8148520737116467
HD 233604 b,2763.0,10.291,Gas Giant,2013,6.575,Jupiter,1.13,Jupiter,0.747,0.52566737,0.05,Radial Velocity,1.6773959879142966,0.7846495038639171
HD 233832 b,192.0,10.15,Gas Giant,2018,1.78,Jupiter,1.2,Jupiter,2.827,5.6,0.36,Radial Velocity,3.5618197888125485,0.7878732452329782
HD 23472 b,127.0,9.73,Super Earth,2019,8.32,Earth,2.0,Earth,0.1162,0.048459962,0.07,Transit,3.1692116133097326,0.7974758790982669
HD 23472 c,127.0,9.73,Super Earth,2019,3.41,Earth,1.87,Earth,0.1646,0.08158795,0.06,Transit,4.517164786193832,0.7974758790982669
HD 23472 d,127.0,9.73,Terrestrial,2022,0.55,Earth,0.75,Earth,0.04298,0.0109514035,0.07,Transit,3.257752371537193,0.7974758790982669
HD 23472 e,127.0,9.73,Terrestrial,2022,0.72,Earth,0.818,Earth,0.068,0.02162902,0.07,Transit,5.648823462626663,0.7974758790982669
HD 23472 f,127.0,9.73,Super Earth,2022,0.77,Earth,1.137,Earth,0.0906,0.03340178,0.07,Transit,1.5731319727281636,0.7974758790982669
HD 23596 b,170.0,7.26122,Gas Giant,2003,11.56265,Jupiter,1.11,Jupiter,2.692222,4.2,0.28,Radial Velocity,4.546795096751974,0.8539206182267136
HD 238090 b,50.0,9.71,Neptune-like,2020,6.89,Earth,0.225,Jupiter,0.0932,0.037508555,0.3,Radial Velocity,1.2695130609019998,0.7979331473775664
HD 238914 b,1694.0,8.770001,Gas Giant,2018,6.0,Jupiter,1.14,Jupiter,5.7,11.2,0.56,Radial Velocity,3.291032646385542,0.8194247336412273
HD 240210 b,1215.0,8.270001,Gas Giant,2009,5.21,Jupiter,1.14,Jupiter,1.16,1.4,0.15,Radial Velocity,5.381274320092984,0.8308564406237139
HD 240237 b,3045.0,8.19,Gas Giant,2011,15.89,Jupiter,1.09,Jupiter,1.92,2.0,0.4,Radial Velocity,6.1610296593158385,0.8326855366043258
HD 24040 b,152.0,7.515,Gas Giant,2006,3.86,Jupiter,1.16,Jupiter,4.92,10.0,0.04,Radial Velocity,4.031129298245738,0.8481183410306827
HD 24040 c,152.0,7.515,Gas Giant,2021,0.201,Jupiter,0.834,Jupiter,1.3,1.4,0.11,Radial Velocity,3.2144487576932894,0.8481183410306827
HD 24064 b,979.0,6.74616,Gas Giant,2015,12.89,Jupiter,1.1,Jupiter,1.29,1.5,0.35,Radial Velocity,0.9509982252038229,0.8656966482235127
HD 24085 b,179.0,7.57,Neptune-like,2019,11.8,Earth,0.309,Jupiter,0.034,0.0054757018,0.22,Radial Velocity,1.48283847294293,0.8468608532626092
HD 25015 b,122.0,8.87,Gas Giant,2019,9.01848,Jupiter,1.12,Jupiter,6.245213,16.8,0.34,Radial Velocity,1.7208540321503072,0.817138415108144
HD 25171 b,181.0,7.77,Gas Giant,2010,0.915,Jupiter,1.24,Jupiter,2.971,4.9,0.04,Radial Velocity,2.049881408484778,0.8422881704696146
HD 25723 b,375.0,5.60075,Gas Giant,2020,2.5,Jupiter,1.18,Jupiter,1.49,1.2511978,0.04,Radial Velocity,3.6627206080798866,0.8918846312131328
HD 25912 b,160.0,8.2,Neptune-like,2022,38.02619,Earth,0.615,Jupiter,0.241872,0.11444216,0.05,Radial Velocity,3.8562052998922396,0.832456902464676
HD 25912 c,160.0,8.2,Gas Giant,2022,16.52835,Jupiter,1.09,Jupiter,17.779459,72.1,0.05,Radial Velocity,4.259631475883121,0.832456902464676
HD 260655 b,33.0,9.63,Super Earth,2022,2.14,Earth,1.24,Earth,0.02933,0.007665982,0.04,Transit,4.040096784915831,0.7997622204947642
HD 260655 c,33.0,9.63,Super Earth,2022,3.09,Earth,1.533,Earth,0.04749,0.015605749,0.04,Transit,5.670831685739503,0.7997622204947642
HD 26161 b,133.0,6.89333,Gas Giant,2021,13.5,Jupiter,1.1,Jupiter,20.4,87.7,0.82,Radial Velocity,3.850532383429815,0.8623318395902877
HD 2638 b,179.0,9.44,Gas Giant,2005,0.42,Jupiter,1.28,Jupiter,0.04,0.009308693,0.0,Radial Velocity,3.740426086727453,0.8041062691481092
HD 2685 b,642.0,9.595,Gas Giant,2019,1.17,Jupiter,1.44,Jupiter,0.0568,0.011225188,0.09,Transit,5.3662239472755076,0.8005624399835384
HD 26965 b,16.0,4.42018,Neptune-like,2018,8.47,Earth,0.254,Jupiter,,0.11608488,0.04,Radial Velocity,4.937212203226791,0.9188764918377612
HD 27442 b,60.0,4.44,Gas Giant,2000,1.56,Jupiter,1.21,Jupiter,1.271,1.172074,0.06,Radial Velocity,4.808758829745057,0.9184233389729755
HD 27631 b,164.0,8.26,Gas Giant,2012,1.494,Jupiter,1.21,Jupiter,3.242,6.0,0.14,Radial Velocity,4.3060778743574355,0.8310850976267776
HD 27894 b,143.0,9.36,Gas Giant,2005,0.61939,Jupiter,1.26,Jupiter,0.125367,0.049281314,0.05,Radial Velocity,5.763903840614562,0.805935342265307
HD 27894 c,143.0,9.36,Gas Giant,2017,0.162,Jupiter,0.735,Jupiter,0.198,0.09883641,0.02,Radial Velocity,3.091497881868531,0.805935342265307
HD 27894 d,143.0,9.36,Gas Giant,2017,6.78167,Jupiter,1.13,Jupiter,5.359964,13.8,0.34,Radial Velocity,3.288989005762933,0.805935342265307
HD 27969 b,222.0,7.66,Gas Giant,2021,4.8,Jupiter,1.15,Jupiter,1.552,1.8,0.18,Radial Velocity,1.428283618501882,0.8448031460057617
HD 28109 b,455.0,9.42,Super Earth,2022,18.496,Earth,2.199,Earth,0.1357,0.062696785,0.3307,Transit,5.538245732567678,0.8045635374274086
HD 28109 c,455.0,9.42,Neptune-like,2022,7.943,Earth,0.377,Jupiter,0.308,0.15331964,0.1203,Transit,4.70743213988555,0.8045635374274086
HD 28109 d,455.0,9.42,Neptune-like,2022,5.681,Earth,0.29,Jupiter,0.411,0.23080082,0.0864,Transit,0.44376342005306946,0.8045635374274086
HD 28185 b,128.0,7.8,Gas Giant,2001,5.83181,Jupiter,1.14,Jupiter,1.034659,1.0554415,0.05,Radial Velocity,2.434532656597988,0.8416022680506654
HD 28185 c,128.0,7.8,Gas Giant,2022,19.58437,Jupiter,1.08,Jupiter,13.109497,47.7,0.12,Radial Velocity,3.603510417689367,0.8416022680506654
HD 28192 b,162.0,8.06,Gas Giant,2022,0.31091,Jupiter,1.08,Jupiter,0.117885,0.03887748,0.1,Radial Velocity,3.0428864030706246,0.8356577804197722
HD 28254 b,180.0,7.69,Gas Giant,2010,1.16,Jupiter,1.22,Jupiter,2.15,3.1,0.81,Radial Velocity,3.592657101014864,0.8441172435868124
HD 285507 b,147.0,10.49,Gas Giant,2013,0.98,Jupiter,1.23,Jupiter,0.06,0.01670089,0.09,Radial Velocity,4.518436260834574,0.7800996844848872
HD 285968 b,31.0,9.95,Neptune-like,2008,8.4,Earth,0.253,Jupiter,0.066,0.024093088,0.0,Radial Velocity,2.941423020190788,0.7924459280259728
HD 28678 b,619.0,8.38,Gas Giant,2011,1.542,Jupiter,1.21,Jupiter,1.18,1.0409309,0.15,Radial Velocity,4.653071913915761,0.8283414879509807
HD 29021 b,101.0,7.76,Gas Giant,2017,4.47,Jupiter,1.15,Jupiter,2.28,3.7,0.46,Radial Velocity,0.7624014673557566,0.8425168046092643
HD 290327 b,184.0,8.99,Gas Giant,2009,2.43,Jupiter,1.18,Jupiter,3.43,6.7,0.08,Radial Velocity,2.3584015545179833,0.8143948054323471
HD 29399 b,144.0,5.79,Gas Giant,2022,1.57,Jupiter,1.21,Jupiter,1.913,2.4,0.05,Radial Velocity,4.289656812614302,0.8875577301202616
HD 2952 b,359.0,5.9258,Gas Giant,2013,1.37,Jupiter,1.21,Jupiter,1.23,0.8531143,0.13,Radial Velocity,1.9383852293250277,0.8844528785038182
HD 29985 b,102.0,9.98,Gas Giant,2022,5.91997,Jupiter,1.14,Jupiter,13.283797,56.5,0.26,Radial Velocity,2.7778752608443753,0.7917600256070235
HD 30177 b,181.0,8.41,Gas Giant,2002,8.68799,Jupiter,1.12,Jupiter,3.603011,6.9,0.21,Radial Velocity,2.617100556272925,0.8276555855320317
HD 30177 c,181.0,8.41,Gas Giant,2016,6.5587,Jupiter,1.13,Jupiter,10.273072,33.1,0.04,Radial Velocity,0.8142709957959623,0.8276555855320317
HD 30562 b,85.0,5.77466,Gas Giant,2009,1.22,Jupiter,1.22,Jupiter,2.34,3.2,0.76,Radial Velocity,5.667307824677101,0.8879084548904843
HD 30669 b,189.0,9.12,Gas Giant,2014,0.47,Jupiter,1.27,Jupiter,2.69,4.6,0.18,Radial Velocity,4.381140624578934,0.8114225616169007
HD 30856 b,428.0,7.91,Gas Giant,2011,1.547,Jupiter,1.21,Jupiter,1.85,2.3,0.06,Radial Velocity,4.484266821562023,0.8390872925145183
HD 31253 b,190.0,7.13266,Gas Giant,2010,0.62,Jupiter,1.26,Jupiter,1.26,1.2758385,0.3,Radial Velocity,5.679035202616207,0.8568599387260505
HD 31527 b,125.0,7.49,Neptune-like,2019,10.47,Earth,0.288,Jupiter,0.1254,0.045448326,0.1,Radial Velocity,3.5163798889359303,0.848689926379807
HD 31527 c,125.0,7.49,Neptune-like,2019,14.16,Earth,0.343,Jupiter,0.2663,0.14017797,0.04,Radial Velocity,2.460939586773777,0.848689926379807
HD 31527 d,125.0,7.49,Neptune-like,2019,11.82,Earth,0.309,Jupiter,0.8098,0.7438741,0.24,Radial Velocity,0.21768406266097481,0.848689926379807
HD 3167 b,154.0,8.97,Super Earth,2016,4.73,Earth,1.627,Earth,0.01802,0.0027378509,0.1,Transit,3.0077206695325582,0.8148520737116467
HD 3167 c,154.0,8.97,Neptune-like,2016,10.67,Earth,0.261,Jupiter,0.1783,0.08158795,0.15,Transit,0.5181747962917795,0.8148520737116467
HD 3167 d,154.0,8.97,Super Earth,2017,5.03,Earth,2.09,Earth,0.07703,0.023271732,0.44,Radial Velocity,5.347897505877729,0.8148520737116467
HD 3167 e,154.0,8.97,Neptune-like,2022,9.74,Earth,0.276,Jupiter,0.4048,0.27953455,0.6,Radial Velocity,0.9818281647959135,0.8148520737116467
HD 32518 b,398.0,6.43005,Gas Giant,2009,3.04,Jupiter,1.17,Jupiter,0.59,0.4312115,0.01,Radial Velocity,0.830931969736209,0.8729240020119804
HD 32963 b,124.0,7.6,Gas Giant,2015,0.7,Jupiter,1.25,Jupiter,3.41,6.5,0.07,Radial Velocity,5.682695140240163,0.8461749508436599
HD 330075 b,148.0,9.36,Gas Giant,2004,0.48,Jupiter,1.27,Jupiter,0.04,0.009308693,0.0,Radial Velocity,5.656162394468837,0.805935342265307
HD 331093 b,164.0,8.38,Gas Giant,2021,1.5,Jupiter,1.21,Jupiter,1.44,1.7,0.59,Radial Velocity,5.385658987138894,0.8283414879509807
HD 33142 b,396.0,7.96,Gas Giant,2011,1.26,Jupiter,1.22,Jupiter,1.074,0.9034908,0.05,Radial Velocity,2.837543944006765,0.8379441218162695
HD 33142 c,396.0,7.96,Gas Giant,2018,0.89,Jupiter,1.24,Jupiter,1.955,2.2,0.08,Radial Velocity,2.882782280909785,0.8379441218162695
HD 33142 d,396.0,7.96,Gas Giant,2022,0.2,Jupiter,0.832,Jupiter,0.452,0.24613279,0.19,Radial Velocity,5.908996513959758,0.8379441218162695
HD 332231 b,263.0,8.558,Gas Giant,2020,0.244,Jupiter,0.867,Jupiter,0.1436,0.051197812,0.03,Transit,2.220254471698796,0.8242718002652156
HD 33283 b,293.0,8.05,Gas Giant,2006,0.329,Jupiter,1.12,Jupiter,0.1508,0.049828887,0.4,Radial Velocity,5.678129052055939,0.835886414559422
HD 33564 b,68.0,5.10111,Gas Giant,2005,9.1,Jupiter,1.12,Jupiter,1.1,1.0622861,0.34,Radial Velocity,3.979578709968543,0.9033081073665921
HD 33844 b,345.0,7.29,Gas Giant,2015,2.01,Jupiter,1.19,Jupiter,1.6,1.5,0.15,Radial Velocity,4.165597562042969,0.8532626091728017
HD 33844 c,345.0,7.29,Gas Giant,2015,1.75,Jupiter,1.2,Jupiter,2.24,2.5,0.13,Radial Velocity,4.953299156220136,0.8532626091728017
HD 34445 b,150.0,7.31,Gas Giant,2009,0.82,Jupiter,1.24,Jupiter,2.07,2.9,0.27,Radial Velocity,1.6930833185500043,0.8528053408935021
HD 34445 c,150.0,7.31,Gas Giant,2017,0.168,Jupiter,0.752,Jupiter,0.7181,0.58781654,0.04,Radial Velocity,2.2567590444557393,0.8528053408935021
HD 34445 d,150.0,7.31,Neptune-like,2017,30.7,Earth,0.542,Jupiter,0.4817,0.32279262,0.03,Radial Velocity,3.864093368064958,0.8528053408935021
HD 34445 e,150.0,7.31,Neptune-like,2017,16.8,Earth,0.38,Jupiter,0.2687,0.13470227,0.09,Radial Velocity,4.10012705380919,0.8528053408935021
HD 34445 f,150.0,7.31,Neptune-like,2017,37.9,Earth,0.613,Jupiter,1.543,1.9,0.03,Radial Velocity,6.274709206290521,0.8528053408935021
HD 34445 g,150.0,7.31,Gas Giant,2017,0.38,Jupiter,1.21,Jupiter,6.36,15.6,0.03,Radial Velocity,3.4784972419088542,0.8528053408935021
HD 35759 b,232.0,7.74,Gas Giant,2016,3.76,Jupiter,1.16,Jupiter,0.389,0.2258727,0.39,Radial Velocity,3.612999583520037,0.8429740728885636
HD 360 b,364.0,5.986,Gas Giant,2021,0.75,Jupiter,1.25,Jupiter,0.98,0.74770707,0.14,Radial Velocity,5.360591346075034,0.8830765009831268
HD 3651 b,36.0,5.88437,Gas Giant,2003,0.228,Jupiter,0.899,Jupiter,0.295,0.17056811,0.65,Radial Velocity,5.851126239987432,0.8854001097443871
HD 37124 b,103.0,7.68,Gas Giant,2002,0.675,Jupiter,1.25,Jupiter,0.53364,0.42272416,0.05,Radial Velocity,3.57879958105006,0.8443458777264621
HD 37124 c,103.0,7.68,Gas Giant,2002,0.652,Jupiter,1.25,Jupiter,1.71,2.4,0.13,Radial Velocity,4.613604186673284,0.8443458777264621
HD 37124 d,103.0,7.68,Gas Giant,2005,0.696,Jupiter,1.25,Jupiter,2.807,5.1,0.16,Radial Velocity,5.27318764833505,0.8443458777264621
HD 37605 b,153.0,8.67,Gas Giant,2004,2.69,Jupiter,1.18,Jupiter,0.277,0.15058179,0.67,Radial Velocity,4.532904946080689,0.8217110979011386
HD 37605 c,153.0,8.67,Gas Giant,2012,3.19,Jupiter,1.17,Jupiter,3.74,7.5,0.03,Radial Velocity,1.3443787233888123,0.8217110979011386
HD 3765 b,58.0,7.36,Gas Giant,2021,0.173,Jupiter,0.764,Jupiter,2.108,3.3,0.3,Radial Velocity,1.223834187812169,0.8516621701952536
HD 38283 b,124.0,6.69,Gas Giant,2010,0.4,Jupiter,1.25,Jupiter,1.02,0.99438745,0.41,Radial Velocity,5.422209214455961,0.8669806575517857
HD 38529 b,138.0,5.92848,Gas Giant,2000,0.64923,Jupiter,1.25,Jupiter,0.114551,0.039151266,0.26,Radial Velocity,5.325074912264929,0.884391604554392
HD 38529 c,138.0,5.92848,Gas Giant,2000,10.44736,Jupiter,1.11,Jupiter,3.224617,5.8,0.36,Radial Velocity,5.3984497232417255,0.884391604554392
HD 38801 b,298.0,8.26,Gas Giant,2009,9.698,Jupiter,1.11,Jupiter,1.623,1.9,0.02,Radial Velocity,1.6834958992710245,0.8310850976267776
HD 39091 b,60.0,5.65,Gas Giant,2001,12.23926,Jupiter,1.1,Jupiter,3.309065,5.7,0.64,Radial Velocity,5.065678117765703,0.8907586080753579
HD 39194 b,86.0,8.09,Super Earth,2021,4.0,Earth,1.83,Earth,0.056,0.015331964,0.207,Radial Velocity,3.5614294543805656,0.834971878000823
HD 39194 c,86.0,8.09,Neptune-like,2021,6.3,Earth,0.213,Jupiter,0.103,0.03832991,0.154,Radial Velocity,4.57615353562739,0.834971878000823
HD 39194 d,86.0,8.09,Super Earth,2021,4.0,Earth,1.83,Earth,0.185,0.09281315,0.333,Radial Velocity,4.3925304020678535,0.834971878000823
HD 39855 b,76.0,7.51,Neptune-like,2019,8.5,Earth,0.254,Jupiter,0.041,0.008761123,0.14,Radial Velocity,3.301779478036735,0.8482326581005076
HD 40307 b,42.0,7.17,Super Earth,2009,4.0,Earth,1.83,Earth,0.0468,0.011772759,0.2,Radial Velocity,6.167156124759949,0.8560062188485984
HD 40307 c,42.0,7.17,Neptune-like,2009,6.6,Earth,0.219,Jupiter,0.0799,0.026283368,0.06,Radial Velocity,2.3930060358188925,0.8560062188485984
HD 40307 d,42.0,7.17,Neptune-like,2009,9.5,Earth,0.272,Jupiter,0.1321,0.055852156,0.07,Radial Velocity,1.6632735757406774,0.8560062188485984
HD 40307 f,42.0,7.17,Neptune-like,2013,5.2,Earth,2.13,Earth,0.247,0.14182067,0.02,Radial Velocity,4.179457102171483,0.8560062188485984
HD 40307 g,42.0,7.17,Neptune-like,2013,7.1,Earth,0.229,Jupiter,0.6,0.5415469,0.29,Radial Velocity,6.060906434963642,0.8560062188485984
HD 40956 b,380.0,6.42794,Gas Giant,2017,2.7,Jupiter,1.18,Jupiter,1.4,1.6,0.24,Radial Velocity,0.8340819277766153,0.8729722438154466
HD 40979 b,111.0,6.75512,Gas Giant,2002,4.67,Jupiter,1.15,Jupiter,0.85,0.7230664,0.25,Radial Velocity,0.01222825718903629,0.8654917920343866
HD 41004 A b,120.0,8.65,Gas Giant,2004,2.54,Jupiter,1.18,Jupiter,,2.6,0.74,Radial Velocity,5.14653975240035,0.8221683661804381
HD 41004 B b,136.0,8.6078,Gas Giant,2003,18.37,Jupiter,1.08,Jupiter,,0.003559206,0.08,Radial Velocity,5.915995696218608,0.8231332022497599
HD 4113 b,137.0,7.88,Gas Giant,2007,1.70781,Jupiter,1.2,Jupiter,1.28031,1.4,0.9,Radial Velocity,0.46119515330429134,0.8397731949334674
HD 42012 b,120.0,8.44,Gas Giant,2017,1.6,Jupiter,1.21,Jupiter,1.67,2.3,0.2,Radial Velocity,0.8431126854852946,0.8269696831130825
HD 4203 b,265.0,8.7,Gas Giant,2001,2.23,Jupiter,1.19,Jupiter,1.17,1.1824777,0.52,Radial Velocity,4.499110391574549,0.8210251954821893
HD 4203 c,265.0,8.7,Gas Giant,2014,2.17,Jupiter,1.19,Jupiter,6.95,18.4,0.24,Radial Velocity,4.537719989304052,0.8210251954821893
HD 4208 b,112.0,7.783,Gas Giant,2001,0.81,Jupiter,1.24,Jupiter,1.662,2.3,0.04,Radial Velocity,2.60692736678978,0.8419909460880698
HD 42618 b,79.0,6.87,Neptune-like,2016,14.4,Earth,0.347,Jupiter,0.554,0.4095825,0.19,Radial Velocity,0.732885042506646,0.8628652430380905
HD 4308 b,72.0,6.55,Neptune-like,2005,15.8915,Earth,0.368,Jupiter,0.12,0.042710472,0.0,Radial Velocity,3.9292810376530096,0.8701815355068819
HD 4313 b,445.0,7.83,Gas Giant,2009,1.927,Jupiter,1.2,Jupiter,1.157,0.97522247,0.15,Radial Velocity,5.677330162200578,0.8409163656317161
HD 43197 b,204.0,8.98,Gas Giant,2010,0.55388,Jupiter,1.26,Jupiter,0.881867,0.8457221,0.74,Radial Velocity,6.112203678494207,0.8146234395719968
HD 43197 c,204.0,8.98,Gas Giant,2022,7.80042,Jupiter,1.12,Jupiter,8.556456,25.5,0.15,Radial Velocity,4.577094035053387,0.8146234395719968
